,,,,,,,,,
"Parameters",,,,,,,,,
"alpha",1,0.8,0.5,0.25,1,1,1,1,1
"theta",0,0,0,0,0.2,0.4,0.6,0.8,0
"rho",1,1,1,1,1,1,1,1,1
"kappa",3,3,3,3,3,3,3,3,3
"beta",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
"delta",8,8,8,8,8,8,8,8,8
,,,,,,,,,
"Strategies",,,,,,,,,
"Regulator",,,,,,,,,
"a",-3.150088723,,,,,,,,
"b1",0.416666667,,,,,,,,
"b2",-4.375,,,,,,,,
,,,,,,,,,
"Monopolist",,,,,,,,,
"r",-2.81894731,,,,,,,,
"s1",5,,,,,,,,
"s2",-4.952830189,,,,,,,,
,,,,,,,,,
"Steady state",,,,,,,,,
"price",1.200033948,,,,,,,,
"tax",0.4000113884,,,,,,,,
